Region,Freising,Freising,Freising,Ingolstadt,Ingolstadt,Ingolstadt,Landsberg,Landsberg,Landsberg,Muenchen,Muenchen,Muenchen,Rosenheim,Rosenheim,Rosenheim,Traunstein,Traunstein,Traunstein,Aichach,Aichach,Aichach,Altoetting,Altoetting,Altoetting,Berchtesgaden,Berchtesgaden,Berchtesgaden,Dachau,Dachau,Dachau,Ebersberg,Ebersberg,Ebersberg,Erding,Erding,Erding,FreisingLand,FreisingLand,FreisingLand,Friedberg,Friedberg,Friedberg,Bruck,Bruck,Bruck,Garmisch,Garmisch,Garmisch,IngolstadtLand,IngolstadtLand,IngolstadtLand,LandsbergLand,LandsbergLand,LandsbergLand,Laufen,Laufen,Laufen,Miesbach,Miesbach,Miesbach,Muehldorf,Muehldorf,Muehldorf,MuenchenLandI,MuenchenLandI,MuenchenLandI,Pfaffenhofen,Pfaffenhofen,Pfaffenhofen,RosenheimAibling,RosenheimAibling,RosenheimAibling,Schongau,Schongau,Schongau,Schrobenhausen,Schrobenhausen,Schrobenhausen,BadToelz,BadToelz,BadToelz,TraunsteinLand,TraunsteinLand,TraunsteinLand,Wasserburg,Wasserburg,Wasserburg,Weilheim,Weilheim,Weilheim
13,408,312,224,553,448,285,198,166,138,13993,11385,5226,487,387,263,241,209,154,430,395,389,93,542,532,487,387,270,376,309,231,449,410,365,575,527,478,407,393,332,493,296,276,311,292,242,242,172,130,331,351,290,369,297,244,577,549,504,825,589,405,574,576,494,1669,1216,1113,584,501,455,989,771,649,320,265,197,228,209,207,351,314,246,632,639,467,547,586,523,645,499,420
14,301,335,310,425,544,453,138,202,187,19759,18890,10996,386,416,266,212,244,193,402,533,636,633,7752,722,396,630,432,341,384,358,483,462,458,726,750,756,469,550,594,533,610,554,322,447,393,242,280,200,264,339,377,333,430,450,608,604,633,522,646,559,730,857,830,1089,1396,1604,464,624,654,944,1058,989,280,371,321,220,329,350,283,384,336,320,876,792,672,731,825,477,559,523
15,68,0,0,149,0,0,41,0,0,5470,0,0,100,0,0,67,0,0,30,0,0,81,0,0,338,0,0,41,0,0,44,0,0,71,0,0,35,0,0,85,0,0,58,0,0,87,0,0,28,0,0,34,0,0,74,0,0,220,0,0,49,0,0,358,0,0,57,0,0,138,0,0,46,0,0,27,0,0,110,0,0,102,0,0,63,0,0,7,0,0
16,424,254,136,525,637,232,194,146,79,19440,16078,3477,1426,300,73,823,248,63,653,407,231,541,515,253,872,716,131,289,328,234,455,394,210,967,473,332,403,313,271,512,421,175,650,314,117,536,280,60,379,315,236,393,237,147,415,559,256,1152,611,3080,945,538,357,2135,1504,630,474,310,319,1455,895,384,303,159,89,208,203,149,514,170,83,715,621,504,420,478,299,849,332,220
17,75,48,38,32,66,35,21,14,10,6888,3540,1720,62,42,26,30,32,15,7,3,3,39,24,15,50,36,13,25,16,4,11,7,1,17,14,5,9,6,2,24,9,6,19,9,3,27,16,8,3,0,0,2,12,0,29,12,15,69,29,8,21,21,6,48,25,27,14,14,10,30,15,6,12,7,5,10,9,5,15,11,7,11,5,5,18,10,10,35,14,10
18,8,1,2,5,3,1,0,0,0,2949,1857,1153,5,1,0,4,3,0,0,1,0,4,2,9,7,11,5,24,28,0,2,2,2,2,0,0,0,1,5,0,0,1,5,14,1,14,17,1,0,1,1,40,15,0,2,1,3,3,10,3,1,0,0,98,97,45,1,2,7,29,18,5,2,2,0,1,2,0,7,13,4,8,22,3,0,1,2,2,9,1
19,596,375,260,830,495,339,223,149,89,39778,25701,116672,795,536,295,414,33,170,463,325,249,855,693,389,640,511,238,403,258,144,443,20,186,830,475,299,370,247,264,624,386,201,289,208,185,280,192,79,257,179,139,290,175,123,632,347,249,687,349,216,733,644,349,714,983,784,621,397,230,878,569,319,301,177,130,288,239,192,343,245,173,650,482,258,644,401,280,555,303,154
20,8,1,1,10,2,1,3,0,1,2959,806,296,97,3,1,2,1,0,69,0,2,12,0,0,27,0,1,63,0,0,36,1,2,56,1,0,8,0,1,53,1,2,66,1,1,22,0,0,63,0,2,4,0,2,27,1,3,52,1,1,16,1,2,151,3,2,65,1,2,80,1,1,13,2,2,42,0,0,24,0,0,46,1,1,6,2,0,47,3,5
21,35,30,32,111,54,50,28,15,16,5781,3304,1214,57,57,34,38,25,20,57,42,45,60,58,71,225,257,104,32,35,26,34,49,25,37,68,33,32,29,34,51,20,20,23,30,29,167,96,68,23,31,24,29,43,38,64,77,62,188,111,108,61,44,15,345,160,369,47,46,30,98,111,77,37,65,52,21,15,16,213,138,91,77,63,51,55,62,60,65,71,46
22,241,233,177,472,395,302,157,122,83,14312,10449,5007,363,331,238,239,206,141,304,312,319,528,489,495,2413,1336,563,339,294,237,384,284,345,485,498,411,382,290,348,288,300,215,372,266,311,848,158,150,273,195,178,324,220,180,494,467,421,1064,703,439,518,485,410,2040,1571,1128,352,359,278,1233,864,585,282,229,188,224,201,210,724,422,316,652,617,393,500,389,360,512,367,283
23,9,0,0,69,0,0,1,0,0,2269,0,0,44,0,0,9,0,0,2,0,0,38,0,0,68,0,0,2,0,0,11,0,0,38,0,0,3,0,0,27,0,0,18,0,0,13,0,0,1,0,0,6,0,0,28,0,0,13,0,0,20,0,0,35,0,0,8,0,0,59,0,0,38,0,0,2,0,0,25,0,0,24,0,0,5,0,0,23,0,0
