Region,Augsburg,Augsburg,Augsburg,Dillingen,Dillingen,Dillingen,Donauwoerth,Donauwoerth,Donauwoerth,Guenzburg,Guenzburg,Guenzburg,Kaufbeuren,Kaufbeuren,Kaufbeuren,Kempten,Kempten,Kempten,Lindau,Lindau,Lindau,Memmingen,Memmingen,Memmingen,Neuburg,Neuburg,Neuburg,Noerdlingen,Noerdlingen,Noerdlingen,AugsburgSchwabmuenchen,AugsburgSchwabmuenchen,AugsburgSchwabmuenchen,DillingenLand,DillingenLand,DillingenLand,DonauwoerthLand,DonauwoerthLand,DonauwoerthLand,Fuessen,Fuessen,Fuessen,GuenzburgLand,GuenzburgLand,GuenzburgLand,Illertissen,Illertissen,Illertissen,KaufbeurenLand,KaufbeurenLand,KaufbeurenLand,KemptenLand,KemptenLand,KemptenLand,Krumbach,Krumbach,Krumbach,LindauLand,LindauLand,LindauLand,MarktOberdorf,MarktOberdorf,MarktOberdorf,MemmingenLand,MemmingenLand,MemmingenLand,Mindelheim,Mindelheim,Mindelheim,NeuburgLand,NeuburgLand,NeuburgLand,NeuUlm,NeuUlm,NeuUlm,NoerdlingenLand,NoerdlingenLand,NoerdlingenLand,Sonthofen,Sonthofen,Sonthofen,Wertingen,Wertingen,Wertingen,Zusmarshausen,Zusmarshausen,Zusmarshausen
13,2550,2348,1532,182,150,113,133,111,105,193,124,117,477,291,178,740,507,436,154,143,146,477,377,315,223,217,172,302,351,332,970,768,659,553,506,525,433,285,310,351,257,219,567,463,382,452,336,285,447,297,268,818,535,397,485,396,347,956,640,484,688,392,292,707,462,401,691,498,389,321,232,263,600,454,423,412,343,418,948,691,443,301,223,212,270,159,171
14,2705,3517,2635,164,196,182,84,138,135,136,137,137,211,310,261,598,782,585,173,254,206,312,436,310,2389,295,234,208,352,346,1285,1250,1064,489,636,725,579,668,653,237,343,312,780,985,708,357,363,434,341,395,381,487,596,598,482,574,595,557,645,595,379,442,410,506,622,674,536,730,531,282,410,459,478,607,632,328,442,485,479,679,632,292,396,394,225,281,305
15,639,0,0,34,0,0,25,0,0,24,0,0,38,0,0,115,0,0,64,0,0,59,0,0,64,0,0,48,0,0,146,0,0,42,0,0,30,0,0,38,0,0,42,0,0,28,0,0,28,0,0,37,0,0,54,0,0,81,0,0,50,0,0,44,0,0,112,0,0,13,0,0,75,0,0,29,0,0,106,0,0,20,0,0,15,0,0
16,4961,2962,781,280,198,70,259,167,50,152,139,58,336,213,100,1053,809,199,242,302,100,474,333,117,358,152,53,469,374,113,1186,1002,400,733,440,254,528,333,198,481,208,132,564,457,198,485,275,143,438,216,117,713,583,234,446,437,166,1332,581,256,715,399,113,728,548,290,579,467,198,340,213,172,757,556,137,466,329,238,1000,706,363,507,261,134,218,116,144
17,820,574,430,19,21,12,63,52,18,16,10,8,405,288,83,205,134,73,25,17,17,63,39,22,35,31,22,74,61,34,41,28,10,26,8,5,8,3,2,19,14,7,13,133,4,40,6,6,7,0,1,0,3,2,15,15,11,222,16,7,15,12,0,12,8,5,51,25,11,4,5,2,32,33,25,6,6,2,33,22,15,3,2,2,4,4,3
18,61,40,34,0,0,3,0,1,1,8,10,1,1,1,0,1,0,1,0,6,2,0,1,0,1,0,0,0,2,0,9,7,4,0,3,0,0,0,0,6,2,3,1,2,1,1,0,1,0,1,1,0,0,0,1,3,7,3,6,2,0,3,2,11,0,1,1,7,2,0,0,0,1,3,2,0,1,2,3,1,2,0,0,0,0,0,0
19,5450,4024,2459,180,94,84,313,186,129,186,90,88,415,340,223,1533,1126,650,358,326,314,895,578,312,314,227,133,623,486,396,1066,756,447,492,301,228,457,313,167,377,169,154,649,400,330,402,163,149,329,127,128,465,285,212,497,337,238,645,324,214,444,195,180,409,223,180,563,455,246,306,167,115,644,308,303,440,278,208,918,583,277,396,188,225,267,137,115
20,165,36,31,6,1,1,3,1,1,4,1,0,14,8,1,26,9,4,5,0,1,9,2,2,7,1,1,7,1,1,111,8,2,22,0,0,26,1,1,28,0,0,67,1,0,48,1,0,12,0,0,45,0,1,45,1,0,42,1,1,17,2,0,8,0,0,44,2,1,78,0,0,43,1,2,11,1,1,55,0,1,9,0,0,41,0,0
21,758,336,298,28,11,14,27,14,15,14,6,10,44,14,18,152,86,50,222,44,172,49,38,22,47,24,18,59,15,11,109,46,48,49,36,47,53,21,26,47,53,50,42,27,34,48,28,19,25,20,11,20,19,15,28,34,30,39,29,24,39,17,16,35,31,35,40,41,28,27,21,24,67,26,36,27,22,14,72,28,35,25,19,19,26,23,15
22,1505,1503,972,116,81,66,109,96,92,108,85,78,166,152,115,461,368,277,250,221,166,235,220,153,201,163,110,179,155,173,678,568,365,376,244,239,411,277,185,441,257,174,350,253,171,228,135,163,283,189,173,381,324,241,274,239,221,581,254,188,292,194,253,325,193,216,644,550,289,269,178,214,400,245,246,22,204,144,794,560,297,205,130,139,168,125,63
23,149,0,0,17,0,0,0,0,0,0,0,0,1,0,0,71,0,0,3,0,0,0,0,0,39,0,0,12,0,0,86,0,0,3,0,0,9,0,0,15,0,0,7,0,0,2,0,0,0,0,0,16,0,0,2,0,0,17,0,0,4,0,0,2,0,0,24,0,0,1,0,0,49,0,0,0,0,0,21,0,0,3,0,0,13,0,0
