Town,Day,Month,Year
Oberkotzau,1,1,1898
Obernburg,1,1,1900
Obernzell,15,10,1901
Oberstaufen,2,6,1903
Oberstdorf,11,11,1901
Ochsenfurt,15,12,1897
Odernheim,16,9,1904
Oettingen,20,1,1902
Ortenburg,1,6,1904
Osterhofen,1,10,1904
Ottobeuren,9,11,1903
Pappenheim,1,9,1901
Pasing,1,3,1891
Passau,1,4,1895
Pegnitz,1,9,1905
Penzberg,4,1,1902
Pfaffenhofen,1,11,1899
Pfarrkirchen,7,9,1901
Pirmasens,1,2,1896
Planegg,1,1,1899
Plattling,1,12,1899
Pocking,1,11,1901
Pretzfeld,15,2,1904
Prien,1,10,1900
Rain,15,5,1903
Regen,1,12,1899
Regensburg,1,3,1895
Regenstauf,1,3,1901
Rehau,10,8,1900
Riedenburg,21,11,1903
Rockenhausen,1,8,1903
Roding,27,3,1903
Rosenheim,1,5,1893
Roth,1,11,1889
Rothenburg,24,12,1899
RothenkirchenTeuschnitz,20,7,1905
Rott,12,8,1904
Rottenburg,12,9,1903
Ruelzheim,1,7,1904
Rupprechtstegen,8,5,1901
SanktIngbert,1,11,1899
Schaftlach,17,8,1903
Scheslitz,1,5,1905
Schifferstadt,1,1,1901
Schillingsfuerst,10,5,1901
Schleissheim,1,10,1899
Schliersee,25,5,1900
Schnaittach,10,9,1903
Schongau,1,10,1904
Schrobenhausen,25,7,1900
Schwabach,1,11,1889
Schwaben,1,12,1901
Schwabmuenchen,1,12,1899
Schwandorf,28,1,1901
Schwarzenbach,1,1,1898
Schweinfurt,16,8,1893
Seeshaupt,1,12,1901
Selb,1,10,1898
Siegsdorf,1,8,1900
Simbach,12,7,1904
Sonthofen,1,12,1897
Spalt,7,10,1903
Speyer,1,7,1892
Spiegelau,19,2,1904
Stadtlauringen,1,9,1905
Staffelstein,20,2,1904
Starnberg,1,3,1893
Straskirchen,22,12,1902
Straubing,1,11,1897
Suenching,15,4,1902
Sulzbach,1,1,1901
Tann,1,12,1904
Taufkirchen,18,8,1904
Tegernsee,1,7,1897
Teisendorf,5,12,1900
Thannhausen,19,11,1903
Thurnau,24,1,1903
Tirschenreuth,10,2,1902
Tittling,20,3,1901
Toepen,1,12,1903
Traunstein,1,8,1897
Treuchtlingen,1,4,1901
Trostberg,10,1,1901
Tutzing,1,3,1893
Uffenheim,8,2,1904
Unsleben,24,4,1903
Velden,,2,1901
Viechtach,15,7,1905
Vilsbiburg,1,1,1901
Vilseck,22,7,1901
Vilshofen,1,10,1897
Vohenstrauss,13,7,1905
Volkach,1,8,1904
Waging,26,4,1905
Waldfischbach,1,12,1904
Waldkirchen,1,8,1901
Waldmohr,1,4,1903
Waldmuenchen,1,10,1901
Waldsassen,26,11,1901
Wasserburg,3,10,1900
Wegscheid,10,6,1903
Weiden,1,10,1897
Weiler,1,12,1899
Weilheim,1,10,1899
Weismain,20,5,1903
Weissenburg,24,12,1899
Weissenstadt,1,4,1898
Weitnau,6,8,1901
Wendelstein,1,9,1893
Werneck,8,2,1904
Wertingen,16,6,1903
Wilhermsdorf,15,1,1903
Windischeschenbach,16,5,1905
Windsbach,17,7,1905
Windsheim,14,12,1901
Winnweiler,1,4,1903
Woerishofen,20,4,1903
WoerthDonau,16,10,1905
WoerthIsar,14,11,1903
Wolfratshausen,1,6,1899
Wolfstein,17,7,1905
Wuerzburg,1,10,1887
Wunsiedel,1,3,1898
Zweibruecken,1,3,1897
Zwiesel,1,12,1899
