Ludwigshafen,NeustadtHaardt,50300,B
NeustadtHaardt,LandauPfalz,38960,B
Ludwigshafen,Kaiserslautern,35796,B
Muenchen,Landshut,34049,B
NeustadtHaardt,BadDuerkheim,30171,B
Speyer,Ludwigshafen,29765,B
Muenchen,Augsburg,28633,
Muenchen,Starnberg,27720,B
Ludwigshafen,LandauPfalz,27364,B
Ludwigshafen,Frankenthal,26491,B
Kaiserslautern,NeustadtHaardt,26303,B
Muenchen,Nuernberg,25945,
Nuernberg,Lauf,24965,B
Nuernberg,Erlangen,24317,B
Muenchen,Rosenheim,21677,B
Fuerth,Erlangen,20746,B
Nuernberg,Roth,18815,B
Ludwigshafen,BadDuerkheim,17863,B
Muenchen,Tutzing,17494,B
Ludwigshafen,Pirmasens,16990,B
Hof,Helmbrechts,15347,B
Kaiserslautern,Pirmasens,14782,B
NeustadtHaardt,Deidesheim,13685,B
Muenchberg,Helmbrechts,13271,B
Muenchen,Frankfurt,12895,B
Speyer,NeustadtHaardt,12665,B
Muenchen,Garmisch,11875,B
Nuernberg,Amberg,11821,B
Wuerzburg,Kitzingen,11017,B
Nuernberg,Schwabach,10427,B
Muenchen,Feldafing,10058,B
Nuernberg,Wuerzburg,9662,
Nuernberg,Bamberg,9389,
NeustadtHaardt,Pirmasens,9313,B
LandauPfalz,BadDuerkheim,9153,B
LandauPfalz,Kaiserslautern,9080,B
Muenchen,Bruck,8983,B
Nuernberg,Ansbach,8780,B
Hof,Muenchberg,8725,B
Muenchen,Freising,8527,B
NeustadtHaardt,Frankenthal,8479,B
LandauPfalz,Pirmasens,7994,B
Nuernberg,Wendelstein,7814,B
Speyer,LandauPfalz,7546,B
Muenchen,Stuttgart,7039,
Nuernberg,Frankfurt,6840,
Muenchen,Berlin,6688,
Muenchen,Regensburg,6661,B
Kaiserslautern,BadDuerkheim,6085,B
Ludwigshafen,Lambrecht,5643,B
Speyer,Kaiserslautern,5623,B
Starnberg,Feldafing,5287,B
Muenchen,Wuerzburg,5136,
BadDuerkheim,Deidesheim,5131,B
Fuerth,Amberg,5007,B
LandauPfalz,Frankenthal,4967,B
Kaiserslautern,Frankenthal,4874,B
Kaiserslautern,Lambrecht,4853,B
Nuernberg,Regensburg,4832,
LandauPfalz,Deidesheim,4576,B
Lambrecht,Pirmasens,4506,B
Nuernberg,Bayreuth,4453,
Starnberg,Tutzing,4303,B
Nuernberg,Berlin,4241,
Speyer,Pirmasens,3940,B
Nuernberg,Augsburg,3702,
BadDuerkheim,Pirmasens,3449,B
BadDuerkheim,Frankenthal,3393,B
Speyer,BadDuerkheim,3303,B
Fuerth,Schwabach,3236,B
Tutzing,Feldafing,3193,B
Wuerzburg,Schweinfurt,2950,B
Speyer,Frankenthal,2897,B
Wuerzburg,Frankfurt,2809,
Fuerth,Roth,2804,B
Muenchen,Fuerth,2554,
Muenchen,BadReichenhall,2548,
BadDuerkheim,Lambrecht,2469,B
Wuerzburg,Bamberg,2411,
Muenchen,Ulm,2370,
LandauPfalz,Lambrecht,2348,B
Augsburg,Kempten,2318,
Kaiserslautern,Deidesheim,2284,B
Nuernberg,Stuttgart,2262,
Aschaffenburg,Frankfurt,2218,
Fuerth,Wendelstein,2211,B
NeustadtHaardt,Mannheim,2139,
Augsburg,Stuttgart,2058,
Ludwigshafen,Frankfurt,2041,
Speyer,Lambrecht,2039,B
Pirmasens,Frankenthal,1961,B
Muenchen,Kempten,1950,
Ludwigshafen,Deidesheim,1834,B
Wuerzburg,BadKissingen,1820,B
Muenchen,Bamberg,1792,
Nuernberg,Kulmbach,1713,
Bayreuth,Hof,1688,
Muenchen,Mannheim,1620,
Kaiserslautern,Mannheim,1617,
Wuerzburg,Aschaffenburg,1598,
Nuernberg,Schweinfurt,1589,
Erlangen,Schwabach,1585,B
Bamberg,Hof,1501,
Nuernberg,Mannheim,1478,
Nuernberg,Hof,1448,
Bayreuth,Bamberg,1428,
Speyer,Mannheim,1413,
Speyer,Deidesheim,1405,B
Fuerth,Ansbach,1372,B
Muenchen,Ansbach,1372,
Wuerzburg,Fuerth,1313,
Schwabach,Wendelstein,1242,B
Muenchen,Passau,1237,
Bayreuth,Kulmbach,1177,B
Bamberg,Fuerth,1170,
Kaiserslautern,Frankfurt,1147,
Fuerth,Lauf,1139,B
Muenchen,Bayreuth,1116,
LandauPfalz,Mannheim,1092,
Frankenthal,Mannheim,1071,
Muenchen,Kaufbeuren,1060,
Fuerth,Frankfurt,1045,
Landshut,Bruck,1019,B
