Town,Latitude,Longitude,Privatsprechstellen,Behoerdensprechstellen,OeffentlicheStellen,Teilnehmer,TeilnehmerAnschluesse,OrtBausch,OrtGrund,OrtZelle,AbonnementFern,BehoerdenFern,ZelleFernEinzel,TeilnehmerFernEinzel
Speyer,49.317284,8.431007,211,33,8,152,179,187953,6613,484,35310,9061,1996,3787
Starnberg,48.000536,11.342857,7,5,1,68,68,23742,636,241,40430,533,2050,1647
Straubing,48.879921,12.570278,6,27,3,86,86,46236,0,102,29994,1068,1576,3445
Tegernsee,47.70855,11.756913,52,5,7,48,49,17532,0,687,25494,0,2528,1199
Teisendorf,47.849732,12.822613,1,0,1,1,1,0,0,0,0,0,299,0
Traunstein,47.86995,12.645452,24,6,4,27,28,6998,0,277,0,425,2106,2084
Tutzing,47.909587,11.280462,43,3,1,34,34,16590,0,84,36113,644,874,2219
Vilshofen,48.633863,13.184477,21,4,6,16,18,13872,0,212,747,35,533,1434
Wasserburg,48.060501,12.230482,10,4,2,13,13,1093,0,62,1347,3,144,133
Weiden,49.674984,12.160652,29,11,3,30,30,23181,0,50,0,277,476,1694
Weiler,47.581368,9.919109,25,4,5,22,22,24711,0,117,8679,2,161,743
Weilheim,47.837652,11.150008,22,6,3,23,23,3510,0,188,24894,1192,3039,882
Weissenburg,49.032256,10.971596,18,6,7,17,17,5700,0,218,7914,3,1421,233
Weissenstadt,50.100841,11.884943,7,1,1,5,5,711,0,1,9225,0,223,223
Wendelstein,49.353423,11.145068,12,1,2,12,12,7737,0,57,32225,0,357,145
Wolfratshausen,47.913919,11.417906,24,2,3,18,18,2922,0,70,11094,22,1043,435
Wuerzburg,49.794256,9.927489,1008,134,17,701,773,1629749,51598,5863,2967,6608,3333,15299
Wunsiedel,50.03878,12.005177,29,5,2,29,29,16596,0,64,20375,4,306,1062
Zweibruecken,49.250476,7.36119,139,26,2,110,114,98907,1518,214,34885,3633,1270,2274
Zwiesel,49.014175,13.232659,20,2,1,18,18,20622,0,61,0,4,354,743
