"","Town","County","BezirkNR","Bezirk","Y1840","Y1875","Y1880","Y1885","Y1890","Y1895","Y1900","Y1905","Y1910","Region","Longitude","Latitude","NNID","NameGNU","PostOffice","PostRevenues","PostBahn","Bahnbezirk","RankRailWeight","TotalRailWeight","SentRailWeight","RankRailRevenues","RailRevenues","CollectedNachnahme","PaidOutNachnahme","TelegraphRevenues","Post_1900","Telegraph_1900","Y1896","InstallTime","Install1896","Install1900","MainLines1896","MainLines1900","MainLines1905","Lines1896","Lines1900","Lines1905","Government1896","Government1900","Government1905","Public1896","Public1900","Public1905","Privat1896","Privat1900","Privat1905","Participants1896","Participants1900","Participants1905","Gov1896","Gov1900","Gov1905","Pub1896","Pub1900","Pub1905","Penetration1896","Penetration1900","Penetration1905","LocalCalls1896","LocalCalls1900","DistanceCalls1900","EmpRatio82","EmpRatio95","EmpRatio07","IndexDisSim82","IndexDisSim95","IndexDisSim07","PopShare1880","PopShare1896","PopShare1900","PopShare1905","City","Fringe","Border","StateTax","LocalTax","Agriculture","Catholics","Participation","Zentrum","Socialist","Liberal","DifCatholicsZentrum","PostRevenues_pc","TelegraphRevenues_pc","Nachnahme","RailStation","RailWeight","MA_Pop_Out_1880","MA_Pop_Out_1896","MA_Pop_Out_1900","MA_Pop_Out_1905","MA_Post_Out_1880","MA_Post_Out_1900","MA_Pop_In_1880","MA_Pop_In_1896","MA_Pop_In_1900","MA_Pop_In_1905","MA_Post_In_1880","MA_Post_In_1900"
"219","NeustadtAisch","NeustadtAisch",19,"NeustadtAisch",3.837,3.841,4.114,4.053,3.748,3.757,3.87,4.124,4494,"MF",10.60833,49.58,"DEBKGGND00000CO2","Neustadt a.d. Aisch","E",15962.12,1,"Wg",467,12408.36,3201.4,553,0.0324511424404473,18694,10867,1335.05,21832.87,1351.95,3.7796,36,0,0,0,0,22,0,0,36,0,0,8,0,0,8,0,0,20,0,0,22,0,0,0.222222222222222,0,0,0.222222222222222,0,0,0.00533462657613967,0,0,0,0.09262492474413,0.103460801796447,0.134937066614085,0.187112810934702,0.136070660993727,0.169421118687871,0.123841059602649,0.124067102569183,0.13030303030303,0.135528607578297,0,0,0,3.78707142637896,2.63657570827834,0.751,0.101,0.6,0.066,0.056,0.878,0.035,3.87995138551288,0.324513855128828,1902.52795333009,1,-1459.78609625668,16.3816051850847,22.6655482691235,26.2837038379762,28.7844307348982,4.46100994337444,10.3363422619158,0.689922959614959,0.953680369312059,1.12579289706436,1.23351103656096,106.252199260174,244.380239093612
"221","NeustadtSaale","BadNeustadtSaale",178,"NeustadtSaale",1.443,2.201,2.215,2.166,2.068,2.072,2.14,2.176,2163,"UF",10.20666,50.32666,"DEBKGGND00000HIT","","E",15345.38,0,"B",424,9680.83,6083.64,506,0.0266717832957111,27265,7958,867.25,2622.25,1867.4,2.0856,46,0,0,0,0,32,0,0,44,0,0,3,0,0,4,0,0,37,0,0,32,0,0,0.0681818181818182,0,0,0.0909090909090909,0,0,0.0147058823529412,0,0,0,0.0718723917277196,0.095355975839192,0.0954132087660886,0.210482894484867,0.171867899461439,0.194914512626067,0.102707966243161,0.102584414298445,0.106882429327739,0.1081349699349,0,0,0,3.65631907736665,1.98164344065353,0.732,0.788,0.568,0.63,0.006,0.331,0.158,6.92793679458239,0.391534988713318,8716.47855530474,1,1122.55079006772,10.2499392728026,13.3993138140784,15.0234549511856,16.4365195219243,2.386894810271,4.68105987568583,0.366130359810003,0.431031408845337,0.46947985154181,0.508345475671344,66.366390806403,143.337454896866
"222","Neuulm","Neuulm",154,"NeuUlm",0.576,7.049,7.744,7.593,7.921,8.684,9.215,10.763,12395,"SC",9.998888,48.39416,"DEBKGGND000000ED","Neu-Ulm","Amt",30421.71,1,"A",555,43192.91,10304.42,587,0.0412582644628099,92972,56797,2104.25,66580.05,3537.85,8.7902,39,0,0,0,0,90,0,0,132,0,0,7,0,0,8,0,0,117,0,0,90,0,0,0.053030303030303,0,0,0.0606060606060606,0,0,0.00836198086035492,0,0,0,0.102780147895336,0.127497325834167,0.162150239475674,0.222034674369603,0.145049014809993,0.166461597431625,0.275312855517634,0.299644594734481,0.312203550616615,0.33914166876733,1,0,1,4.98624803543363,2.1284826403772,0.64,0.829,0.615,0.65,0.038,0.312,0.179,3.92842329545455,0.271726497933884,4671.35847107438,1,-2916.33135330579,10.7547352623053,14.9243409469652,16.7160918099818,18.1573363475118,1.7693597384963,3.97328622796681,0.285080677789572,0.380760281118573,0.419091053440254,0.453130146024895,69.233629767284,160.628753489665
"223","Nittenau","Roding",115,"Roding",1.153,1.374,1.383,1.411,1.349,1.323,1.361,1.456,1431,"OP",12.27111,49.19694,"DEBKGGND00000GIT","Nittenau","E",4279.99,0,"Z",0,0,0,0,0,0,0,258.45,7983.02,417.2,1.3306,11,0,0,0,0,14,0,0,24,0,0,3,0,0,8,0,0,13,0,0,14,0,0,0.125,0,0,0.333333333333333,0,0,0.00961538461538462,0,0,0,0.0684000651041667,0.0823134049703356,0.0664271390374331,0.199578858391333,0.174794012816267,0.158127039296354,0.0562744140625,0.0548894328506825,0.0573221581097587,0.0608288770053476,0,0,0,2.4466098919096,1.86693416311824,0.769,0.996,0.447,0.869,0.012,0,0.127,3.0947143890094,0.186876355748373,0,0,0,14.1181613222666,19.0366746084103,21.3671044351773,23.2604438067441,2.89280688993702,6.22400198537245,0.537698835853614,0.682743595580827,0.751914767180596,0.813516678094723,83.8363790226086,190.407210371347
"224","Noerdlingen","Noerdlingen",139,"Noerdlingen",6.464,7.223,7.837,8.095,8.004,8.263,8.299,8.511,8705,"SC",10.49,48.85166,"DEBKGGND00000G7Z","Nördlingen","Amt",47567.77,1,"A",513,22299.43,10093.01,584,0.0396434860278168,54439,48979,3535.75,69479.62,4084.5,8.2702,98,0,1,0,40,70,0,60,102,0,6,12,0,14,14,0,40,76,0,40,69,0,0.1,0.117647058823529,0,0.233333333333333,0.137254901960784,0,0.00481985781419448,0.00822465045235577,0,21158,1078,0.263238484113819,0.301222316349994,0.320291387616026,0.175105660722358,0.145892703738862,0.21926870354379,1,1,1,1,1,0,1,7.58282890673255,4.54972205064855,0.696,0.688,0.654,0.607,0.01,0.378,0.0809999999999999,6.0696401684318,0.45116115860661,696.695163965803,1,-269.670792395049,13.6380117158601,18.7711508929256,21.1920120086367,23.0477050809384,2.64543293987569,5.8305133468766,0.427637872033232,0.563134846781075,0.628148939575536,0.678689965181086,86.9933505315535,199.881968162819
"225","Nordendorf","Donauwoerth",142,"DonauwoerthLand",0.31,0.368,0.403,0.441,0.406,0.412,0.434,0.449,558,"SC",10.83138,48.59444,"DEBKGGND00000VDV","Nordendorf","E",2089.82,1,"A",107,1294.47,654.26,249,0.024848635235732,6851,1660,153.35,4717.44,270.4,0.4164,15,0,0,0,0,18,0,0,26,0,0,2,0,0,3,0,0,21,0,0,17,0,0,0.0769230769230769,0,0,0.115384615384615,0,0,0.0400890868596882,0,0,0,0.0868565878925218,0.100098760712351,0.124981770453551,0.224990910339155,0.302939333215009,0.289099613609326,0.0130462932988022,0.0131256172544522,0.0140036138358286,0.0130961061688785,0,1,0,4.35176440558994,1.19446748771616,0.696,0.688,0.654,0.607,0.01,0.378,0.0809999999999999,5.18565756823821,0.380521091811414,12880.8933002481,1,34.8635235732009,16.348048476407,22.9216379745487,25.6579668097715,27.8107401391069,4.73299002408661,9.89529917792505,0.671525517562497,0.907809130513821,0.996758161570066,1.07346246527116,109.87147047396,248.528241010953
"226","Nordheim","Mellrichstadt",176,"Mellrichstadt",0.818,0.77,0.818,0.834,0.812,0.8,0.807,0.849,867,"UF",10.18333,50.47805,"DEBKGGND00000BYR","Nordheim v.d. Rhön","E",2358.35,0,"Z",0,0,0,0,0,0,0,137.05,3152.79,226.15,0.8014,27,0,0,0,0,8,0,0,12,0,0,1,0,0,2,0,0,9,0,0,8,0,0,0.0833333333333333,0,0,0.166666666666667,0,0,0.0094228504122497,0,0,0,0.0821850393700787,0.103869957497577,0.123874206407796,0.209596502252597,0.150321841645019,0.143688948229525,0.0575084364454443,0.0596525240474238,0.0605810374596502,0.0626753285102613,0,0,1,4.59753890698516,2.41375316684763,0.732,0.788,0.568,0.63,0.006,0.331,0.158,2.8830684596577,0.167542787286064,0,0,0,8.90331915684223,11.7109049658779,13.150515124193,14.3881399814927,1.56941195627727,2.98833027275544,0.24820896247278,0.296061207604535,0.324563844624377,0.352859893846239,56.9113226954498,122.86438173874
"227","Nuernberg","Nuernberg",6,"Nuernberg",46.824,91.018,99.519,114.891,142.59,162.386,261.081,294.426,333142,"MF",11.075,49.45083,"DEBKGGND00000BZM","Nürnberg","HE",966769.07,0,"N",593,511566.07,128689.46,623,0.0713037309458495,1004153,985380,166105.43,2771751.13,243980.86,182.125,245,1,1,1865,3437,5449,2904,5328,8310,139,224,362,17,22,45,2748,5082,7903,1799,3286,5243,0.0478650137741047,0.042042042042042,0.0435619735258724,0.00585399449035813,0.00412912912912913,0.00541516245487365,0.0102402196293754,0.0131644968419762,0.0185071970546079,2602541,5639228,54662,0.348697233694068,0.38777357653985,0.43966225808862,0.260926123609042,0.249167224287759,0.242367215705356,1,1,1,1,1,0,0,11.1320381927218,9.46227293695764,0.117,0.201,0.774,0.008,0.564,0.419,0.193,9.71441704599122,1.66908258724465,188.637345632492,1,-2554.15699514665,18.7007192487988,25.2334488891634,27.548365623919,30.0842518754013,11.6113191054011,24.2935143351791,1.6321499214195,2.3385506870677,2.58448041125292,2.8590859356188,115.113059163759,245.401133849215
"228","Oberammergau","Garmisch",65,"Garmisch",1.155,1.226,1.349,1.246,1.366,1.34,1.559,1.531,1881,"OB",11.06666,47.59611,"DEBKGGND00000DOV","Oberammergau","E",5503.9,0,"Z",0,0,0,0,0,0,0,428.7,61088.05,12959.64,1.3838,68,0,1,0,9,12,0,13,20,0,2,3,0,2,5,0,9,12,0,9,12,0,0.153846153846154,0.15,0,0.153846153846154,0.25,0,0.00577293136626042,0.00783801436969301,0,692,11095,0.139192352711666,0.177471775573041,0.264148233266303,0.336637212600661,0.205978190218725,0.321637857564892,0.131584081154897,0.114608279165241,0.119062165877501,0.109954036196495,0,0,1,5.34302607347097,2.44353978869826,0.684,0.986,0.517,0.744,0.033,0,0.242,4.07998517420311,0.317790956263899,0,0,0,11.2334164374579,16.6097788579364,18.784576205586,20.4273545493832,2.28127098849661,5.98605745736076,0.361142034998274,0.535463732499091,0.609043864347788,0.663092591477426,74.1534415117495,185.988393534033
"229","Oberau","Garmisch",65,"Garmisch",0.164,0.183,0.158,0.17,0.125,0.19,0.363,0.347,387,"OB",11.13472,47.55888,"DEBKGGND000009R1","Oberau","E",413.88,0,"Z",0,0,0,0,0,0,0,0,3382.98,646.35,0.2246,68,0,1,0,6,8,0,9,14,0,0,0,0,1,1,0,8,13,0,6,8,0,0,0,0,0.111111111111111,0.0714285714285714,0,0.0165289256198347,0.0230547550432277,0,649,4665,0.139192352711666,0.177471775573041,0.264148233266303,0.336637212600661,0.205978190218725,0.321637857564892,0.0154116269996098,0.0162504276428327,0.0277226210478082,0.0249209997127262,0,0,1,5.34302607347097,2.44353978869826,0.684,0.986,0.517,0.744,0.033,0,0.242,2.61949367088608,0,0,0,0,11.2955289972766,16.606109945303,18.7721525599033,20.4034699891405,2.5246696194529,8.15394065607214,0.432075599180733,0.613335476135292,0.694192398836393,0.754378062601364,73.648186023792,192.050708630591
