"","Town","County","BezirkNR","Bezirk","Y1840","Y1875","Y1880","Y1885","Y1890","Y1895","Y1900","Y1905","Y1910","Region","Longitude","Latitude","NNID","NameGNU","PostOffice","PostRevenues","PostBahn","Bahnbezirk","RankRailWeight","TotalRailWeight","SentRailWeight","RankRailRevenues","RailRevenues","CollectedNachnahme","PaidOutNachnahme","TelegraphRevenues","Post_1900","Telegraph_1900","Y1896","InstallTime","Install1896","Install1900","MainLines1896","MainLines1900","MainLines1905","Lines1896","Lines1900","Lines1905","Government1896","Government1900","Government1905","Public1896","Public1900","Public1905","Privat1896","Privat1900","Privat1905","Participants1896","Participants1900","Participants1905","Gov1896","Gov1900","Gov1905","Pub1896","Pub1900","Pub1905","Penetration1896","Penetration1900","Penetration1905","LocalCalls1896","LocalCalls1900","DistanceCalls1900","EmpRatio82","EmpRatio95","EmpRatio07","IndexDisSim82","IndexDisSim95","IndexDisSim07","PopShare1880","PopShare1896","PopShare1900","PopShare1905","City","Fringe","Border","StateTax","LocalTax","Agriculture","Catholics","Participation","Zentrum","Socialist","Liberal","DifCatholicsZentrum","PostRevenues_pc","TelegraphRevenues_pc","Nachnahme","RailStation","RailWeight","MA_Pop_Out_1880","MA_Pop_Out_1896","MA_Pop_Out_1900","MA_Pop_Out_1905","MA_Post_Out_1880","MA_Post_Out_1900","MA_Pop_In_1880","MA_Pop_In_1896","MA_Pop_In_1900","MA_Pop_In_1905","MA_Post_In_1880","MA_Post_In_1900"
"1","Abbach","Kelheim",36,"Kelheim",0.611,0.892,0.973,1.033,1.111,1.278,1.187,1.23,1218,"NB",12.04361,48.93527,"DEBKGGND00000AHT","","E",2631.26,1,"I",439,10234.15,8782.65,226,0.0129897225077081,2904,1821,321.35,4955.07,354.7,1.2598,12,0,0,0,0,5,0,0,11,0,0,1,0,0,4,0,0,6,0,0,5,0,0,0.0909090909090909,0,0,0.363636363636364,0,0,0.0040650406504065,0,0,0,0.102754468602801,0.132216069745523,0.130319844290155,0.223344020368919,0.220130475806053,0.226760820579392,0.0303521851701656,0.0376413760603205,0.0358090985881501,0.0357319234232926,0,0,0,4.21382174106481,1.94756043304167,0.75,0.995,0.528,0.788,0.012,0.2,0.207,2.70427543679342,0.330267214799589,1113.05241521069,1,7534.58376156218,17.6540639398174,23.8849840970393,26.6686357010632,29.0101812191536,6.84626000489407,14.2015248744654,1.07300556379564,1.36466620049326,1.48822880150945,1.61226456651009,109.990983085741,247.619404736319
"2","Abensberg","Kelheim",36,"Kelheim",1.428,1.885,2.094,2.229,2.186,2.339,2.202,2.278,2258,"NB",11.84833,48.81555,"DEBKGGND00000SLT","","E",10823.85,1,"I",421,9579.21,3716.31,493,0.0221719197707736,30066,5092,766.9,15721.72,1265.95,2.3116,18,0,0,0,0,18,0,0,32,0,0,5,0,0,10,0,0,17,0,0,18,0,0,0.15625,0,0,0.3125,0,0,0.00790166812993854,0,0,0,0.102754468602801,0.132216069745523,0.130319844290155,0.223344020368919,0.220130475806053,0.226760820579392,0.0653211467074274,0.0688913760603204,0.0664293471702667,0.0661766841937077,0,0,0,4.21382174106481,1.94756043304167,0.75,0.995,0.528,0.788,0.012,0.2,0.207,5.16898280802292,0.366236867239733,11926.4565425024,1,-1025.11461318052,16.9676478398955,23.5862083901535,26.4730700037898,28.940202376724,4.65862149049042,10.062040332028,0.842249575370384,1.12009105648145,1.2365742310675,1.37537824202031,103.918546576491,240.52966602442
"3","Aichach","Aichach",56,"Aichach",1.749,2.647,2.608,2.641,2.483,2.568,2.576,2.762,3342,"OB",11.13361,48.46111,"DEBKGGND000008CO","","E",12670.51,1,"I",458,11406.54,5524.79,514,0.0245176380368098,30188,6483,938.3,19689.35,871.8,2.5696,74,0,1,0,10,22,0,14,45,0,4,9,0,3,15,0,7,21,0,9,22,0,0.285714285714286,0.2,0,0.214285714285714,0.333333333333333,0,0.00388198757763975,0.00796524257784214,0,7332,5095,0.100585058505851,0.104294018376149,0.110375670840787,0.216198966103659,0.160602703037736,0.21512107060886,0.0978097809780978,0.0963060191261954,0.0956589550298934,0.098819320214669,0,0,0,4.70147812523212,2.77798410458293,0.637,0.971,0.58,0.828,0.082,0.088,0.143,4.85832438650307,0.359777607361963,9089.34049079755,1,-136.871165644172,17.9164373286568,26.3509833239952,29.6385762522102,32.0926535223696,6.09678445239158,13.2964600767179,0.808310064998203,1.19315784693371,1.3277414833236,1.42943824141203,125.029333040728,292.262095531648
"6","Altdorf","Nuernberg",20,"NuernbergLand",3.077,3.057,3.293,3.106,2.979,2.942,2.867,2.887,2903,"MF",11.35472,49.38527,"DEBKGGND00000O1U","","E",7726.69,0,"Rg",299,4505.54,1752.26,413,0.00959459459459459,8058,975,520.3,12238.26,561.75,2.927,33,0,0,0,0,16,0,0,23,0,0,3,0,0,6,0,0,14,0,0,16,0,0,0.130434782608696,0,0,0.260869565217391,0,0,0.0055420852095601,0,0,0,0.125053610527979,0.200792914688926,0.187433390482369,0.263851294381066,0.276725218184414,0.248217133973758,0.074332407846324,0.0535035553858185,0.14042907523511,0.133775079931421,0,1,0,3.58647262066799,3.05536593026908,0.117,0.201,0.774,0.008,0.564,0.419,0.193,2.3463984208928,0.158001822046766,2150.92620710598,1,-303.984208928029,19.2410474303157,27.6306566118582,32.9105652667275,36.2490863674945,6.91222223982268,17.4188161662196,1.00432667184444,1.50029802090706,1.87130418767211,2.07707839268642,126.840256401968,305.338680133619
"7","Amberg","Amberg",101,"Amberg",10.627,13.38,14.583,15.812,19.126,20.2,22.039,24.303,25242,"OP",11.85444,49.44472,"DEBKGGND00000RJ1","","V",61665.24,0,"N",564,55348.58,23546.01,589,0.0246680381265857,76994,71754,3487.2,105587.08,5415.3,20.5678,145,1,1,32,42,112,38,72,172,10,14,23,2,10,16,26,48,133,29,41,111,0.263157894736842,0.194444444444444,0.133720930232558,0.0526315789473684,0.138888888888889,0.0930232558139535,0.00155582998667821,0.00190571260039022,0.00460848454923261,18299,25280,19755,0.200430889382616,0.286237623762376,0.319096407850883,0.223492915553983,0.292696126143314,0.420628530927547,0.981821854170875,1,1,1,1,0,0,4.15867695421199,3.61162408297496,0.67,0.807,0.5,0.743,0.023,0.101,0.0640000000000001,4.22857025303435,0.239127751491463,359.322498799973,1,-566.177055475554,14.4625885718186,19.7006584386829,22.5048658023745,24.6091077921374,2.82238520499861,6.34292369796934,0.546222574176187,0.714829632671389,0.81156771628786,0.88459935835061,86.5812775402089,199.571592999985
"8","Amorbach","Miltenberg",177,"Miltenberg",2.931,2.385,2.503,2.28,2.176,2.166,2.173,2.261,2341,"UF",9.22,49.645,"DEBKGGND000026P7","","E",9488.61,0,"Wg",204,2705.15,1186,352,0.00801717938473831,13925,5760,563.7,12008.29,964.85,2.1674,36,0,0,0,0,18,0,0,19,0,0,3,0,0,4,0,0,12,0,0,18,0,0,0.157894736842105,0,0,0.210526315789474,0,0,0.00796107916850951,0,0,0,0.102963031766673,0.15771349862259,0.17036340009858,0.283969912204179,0.219680388495833,0.229059919590069,0.116245587962103,0.10655253837072,0.102824965693465,0.101312900479455,0,0,1,3.97440215560795,2.95424144733677,0.635,0.936,0.637,0.654,0.1,0.246,0.282,3.79089492608869,0.225209748302038,3262.08549740312,1,-133.100279664403,9.28925076288789,12.3376793971682,13.8444965327207,15.218863218842,2.01728182612006,4.14069341097096,0.324554150722341,0.385044795313,0.422755365623645,0.467878768286602,59.6139195947835,132.305869903163
"10","Ansbach","Ansbach",1,"Ansbach",11.939,13.299,14.195,13.935,14.258,15.883,17.563,18.478,19995,"MF",10.57138,49.30055,"DEBKGGND00000ROD","","Amt",76712.25,0,"N",552,49433.62,7667.43,600,0.0333972525537161,93504,69918,6352.8,149394.58,8665.15,16.219,174,1,1,28,45,119,51,77,207,15,23,49,2,5,7,34,49,151,28,45,113,0.294117647058824,0.298701298701299,0.236714975845411,0.0392156862745098,0.0649350649350649,0.0338164251207729,0.00172637030643073,0.00256220463474349,0.00644009091893062,3705,9469,8873,0.211976047904192,0.27161115658251,0.305498430566079,0.177404073794713,0.171541457784562,0.15034333910673,1,1,1,1,1,0,0,6.92737710800144,3.46365267312522,0.597,0.138,0.654,0.002,0.078,0.839,0.136,5.40417400493131,0.447537865445579,1661.57097569567,1,-2402.16696019725,15.4449582376218,21.3830557350673,24.7379583848454,27.075674641311,3.72006927166993,8.61681490470252,0.590201094614995,0.805102300923793,0.947184368927362,1.03806175526809,99.2123088518029,230.093316911962
"11","Arnstein","Karlstadt",170,"Karlstadt",1.626,1.63,1.849,1.816,1.786,1.73,1.745,1.771,1695,"UF",9.967222,49.97861,"DEBKGGND00000RTW","Arnstein","E",6076.72,1,"B",293,4342.57,2336.41,339,0.00871984856679286,10744,1028,353.6,8674.56,756.2,1.733,14,0,0,0,0,11,0,0,23,0,0,3,0,0,9,0,0,11,0,0,11,0,0,0.130434782608696,0,0,0.391304347826087,0,0,0.0062111801242236,0,0,0,0.0762400891160474,0.0911618868935942,0.113761226436819,0.220805999459487,0.169348901285394,0.185535664687235,0.0605792543083677,0.0579603323505763,0.0871628371628372,0.0582623285192618,0,0,0,4.36048729877171,1.57167241206198,0.764,0.882,0.582,0.698,0.088,0.207,0.184,3.28648999459167,0.191238507301244,5254.73228772309,1,178.610059491617,13.133750447869,17.287202295647,19.3142071925289,21.1328141152495,4.16549975576307,8.31194729938635,0.601939751070252,0.757986817021043,0.828972439476111,0.906192697255947,87.0455387037533,186.372780675108
"12","Arnstorf","Eggenfelden",33,"Eggenfelden",1.075,1.276,1.276,1.443,1.456,1.441,1.414,1.624,1625,"NB",12.81722,48.56083,"DEBKGGND000000B6","","E",6242.04,0,"Z",0,0,0,0,0,0,0,443.85,8826.36,611.75,1.4356,24,0,0,0,0,12,0,0,17,0,0,4,0,0,3,0,0,10,0,0,11,0,0,0.235294117647059,0,0,0.176470588235294,0,0,0.00738916256157635,0,0,0,0.0999188123405242,0.0982482440798423,0.109125435721346,0.206334936541136,0.176479625558229,0.169411270349188,0.0369983762468105,0.0400044418533633,0.0388546933391954,0.0422454606940326,0,0,0,4.80086899724534,2.30977195921961,0.783,0.997,0.416,0.836,0.01,0.154,0.161,4.89188087774295,0.347844827586207,0,0,0,11.9647413839316,16.3664609995739,18.2473727163676,19.8164114066269,2.13368417356037,4.73400212642222,0.390142439576166,0.499645362759396,0.544510228850882,0.589162571195745,72.0828952692659,168.341194877241
"13","Arzberg","Wunsiedel",100,"Wunsiedel",1.99,2.152,2.274,2.105,2.164,2.212,2.588,3.336,3844,"OF",12.18527,50.05694,"DEBKGGND00000MSX","","E",4237.03,0,"Wn",207,2790.46,488.26,283,0.00679023746701847,6139,2287,193.1,11202.16,793.75,2.2872,93,0,1,0,17,32,0,24,51,0,3,9,0,1,2,0,20,40,0,17,32,0,0.125,0.176470588235294,0,0.0416666666666667,0.0392156862745098,0,0.00656877897990726,0.00959232613908873,0,25207,14168,0.153962245478612,0.256843882720156,0.318452318368205,0.339639429137599,0.357055899515522,0.436961890605997,0.0562606694871224,0.056593153558819,0.0597249146127573,0.0701503522237409,0,0,1,2.65138676911741,2.10199463186148,0.452,0.122,0.693,0.004,0.078,0.918,0.118,1.86324978012313,0.0849164467897977,1693.93139841689,1,-797.68689533861,12.1961528465213,16.0947130638549,18.1785159307722,20.0722082888514,2.33851213925677,5.2516540380775,0.528624291915682,0.657657284993976,0.74071364977333,0.839977493468452,67.4789859406201,152.132391951062
"14","Asch","Kaufbeuren",146,"KaufbeurenLand",0.575,0.545,0.582,0.66,0.632,0.655,0.621,0.624,607,"SC",10.83,47.94861,"DEBKGGND00000BMV","","E",1569.49,0,"Wn",567,61458.36,5060.62,588,0.875403780068729,141479,290449,0,2147.19,104.5,0.6482,26,0,0,0,0,17,0,0,29,0,0,2,0,0,7,0,0,20,0,0,17,0,0,0.0689655172413793,0,0,0.241379310344828,0,0,0.0272435897435897,0,0,0,0.0777719888220528,0.0838276683264776,0.111696610099166,0.206043270133971,0.191986573029793,0.157112460968508,0.0275659546251125,0.0283611171249188,0.0467550067760879,0.0258910418654828,0,1,0,5.36703386744355,2.39912600145666,0.702,0.971,0.682,0.691,0.039,0.269,0.28,2.69671821305842,0,-255962.199312715,1,-88208.1099656357,14.3535027429047,21.0228070816969,23.6352723910931,25.6941771324495,3.85642598255204,9.52686069563508,0.589521125416958,0.850191915767935,0.947009617292977,1.03342708699954,95.8110393702648,235.904089219052
"15","Aschaffenburg","Aschaffenburg",159,"Aschaffenburg",9.273,10.843,12.152,12.393,13.63,15.831,18.093,25.891,29892,"UF",9.147777,49.97333,"DEBKGGND00000R5O","","Amt",98094.2,1,"Wg",563,55216.16,30938.14,601,0.0449040487162607,163957,174077,9707.55,223131.78,14977.95,16.2834,135,1,1,70,158,376,103,230,554,14,21,46,2,2,26,87,207,482,64,158,361,0.135922330097087,0.091304347826087,0.0830324909747292,0.0194174757281553,0.00869565217391304,0.0469314079422383,0.00429885650416989,0.00873265903940751,0.0145224209184659,48624,88209,1859,0.265388413429888,0.376160697365928,0.376771851222433,0.193482012518299,0.17517177085701,0.210610147558444,1,1,1,1,1,0,1,8.33890099249576,5.280077463084,0.635,0.936,0.637,0.654,0.1,0.246,0.282,8.07226793943384,0.798843811718236,-832.784726793943,1,548.067807768268,8.16073242996378,10.7970756218681,12.0965428816027,13.1456112411798,1.25782749626133,2.57825060502423,0.213935716528355,0.258727293768229,0.282439433605342,0.304600063923203,51.3330055890651,113.267402411167
"16","Aschau","Muehldorf",70,"Muehldorf",0.691,0.728,0.734,0.808,0.827,0.835,0.828,0.845,846,"OB",12.34583,48.19638,"DEBKGGND00000V6V","","E",8323.52,1,"Rm",477,13757.38,10161.65,431,0.0431566757493188,15333,3856,913.5,23503.46,1211.3,0.8336,29,0,0,0,0,13,0,0,20,0,0,3,0,0,3,0,0,14,0,0,10,0,0,0.15,0,0,0.15,0,0,0.0153846153846154,0,0,0,0.0979504770689804,0.116054211889152,0.125670087302803,0.251137370186552,0.171159116550919,0.201912681526982,0.0211582254763483,0.0230014875213487,0.0225103988255444,0.0215704293664165,0,0,0,5.08239488427367,2.42190594759776,0.744,0.997,0.517,0.987,0.005,0.005,0.01,11.3399455040872,1.24455040871935,15636.2397820163,1,8945.39509536785,13.7859463360736,20.1562535752876,22.7066217942318,24.6410997039959,3.31398360456927,8.07622087380642,0.527564680357601,0.75326929563254,0.840497014226498,0.907844904761805,89.3180408878337,220.511203302024
"17","Aschbach","Bamberg",84,"BambergLandII",0.612,0.718,0.77,0.672,0.672,0.653,0.653,0.634,634,"OF",10.56222,49.7725,"DEBKGGND00000POV","","E",1775.4,0,"Z",0,0,0,0,0,0,0,216.5,2575.11,255.05,0.653,17,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00157728706624606,0,0,0,0.120181867535288,0.152036166880251,0.149786798567286,0.35087248404094,0.376326332951749,0.36772799445729,0.0261264929424539,0.0232450519720917,0.022795503735251,0.0216271533344704,0,1,0,4.6024853344441,2.40410982679024,0.582,0.834,0.609,0.729,0.211,0.06,0.105,2.30571428571429,0.281168831168831,0,0,0,15.1267800801397,20.4570924262789,23.356915766868,25.5395681512106,3.82040174904729,8.11323680074982,0.599950020487628,0.790379053440953,0.902907131376002,0.983569622271822,97.2453690679257,215.660467588212
"18","Aub","Ochsenfurt",180,"Ochsenfurt",0.995,1.008,1.074,1.071,1.062,1.127,1.159,1.333,1201,"UF",10.06416,49.55166,"DEBKGGND000008YD","","E",4587.99,0,"Z",0,0,0,0,0,0,0,303.65,7414.37,446.7,1.1334,1,0,0,0,0,12,0,0,14,0,0,2,0,0,1,0,0,11,0,0,12,0,0,0.142857142857143,0,0,0.0714285714285714,0,0,0.00900225056264066,0,0,0,0.102070894112312,0.124392577004018,0.140330232045012,0.221801701657073,0.166655574272466,0.227778009568313,0.0405865013982314,0.0431222498565142,0.0444708771391298,0.049019968374214,0,0,1,6.42611683848797,2.81286750668194,0.718,0.626,0.707,0.513,0.018,0.469,0.113,4.27187150837989,0.282728119180633,0,0,0,13.7027098975671,18.3062179866571,20.640271988845,22.4820572378744,3.43847556130037,7.18188780020652,0.541190057777133,0.687966269516612,0.762761413870543,0.823638180668469,87.9641900476134,194.397835807635
"19","Augsburg","Augsburg",130,"Augsburg",36.869,57.213,61.408,65.905,75.629,81.896,89.17,94.923,102487,"SC",10.8925,48.36944,"DEBKGGND00000XMW","","HE",604428.71,0,"A",592,350269.83,80907.87,621,0.0580113177436165,402418,456589,56753.45,941610.6,62088.25,83.3508,234,1,1,452,733,1292,740,1183,2085,48,65,169,10,18,32,682,1100,1884,431,699,1224,0.0648648648648649,0.0549450549450549,0.0810551558752998,0.0135135135135135,0.0152155536770921,0.015347721822542,0.0054228633678381,0.00822025344846922,0.0136110320997019,522697,1396844,9563,0.346420661803022,0.421278206505812,0.45551657659366,0.191293428270556,0.193099157360011,0.185254466668194,1,1,1,1,1,0,0,11.499962066611,8.61734314543661,0.268,0.805,0.773,0.498,0.218,0.284,0.307,9.84283334418968,0.924202872589891,-882.148905680042,1,-3068.88499869724,14.2507725099655,20.7538936348865,23.4571190730099,25.4716778696179,3.12014923965762,8.00960131194872,0.562904458542489,0.794605150145087,0.88963774267925,0.959981991843316,88.3102833042691,225.172448408439
"20","Babenhausen","Illertissen",145,"Illertissen",1.792,1.866,1.885,1.898,1.941,2.079,2.062,2.093,2068,"SC",10.25333,48.14277,"DEBKGGND00000NEN","","E",6540.76,0,"Z",0,0,0,0,0,0,0,411.05,10144.29,741.85,2.0756,51,0,0,0,0,1,0,0,31,0,0,3,0,0,15,0,0,13,0,0,12,0,0,0.0967741935483871,0,0,0.483870967741935,0,0,0.000477783086478739,0,0,0,0.106419479800775,0.122963516906148,0.377169755810533,0.264562766943876,0.27641537593551,0.278303124550238,0.10431654676259,0.111051760055553,0.108795441354931,0.205256447974895,0,0,1,5.0796508755558,1.69720590657079,0.64,0.829,0.615,0.65,0.038,0.312,0.179,3.46989920424403,0.218063660477454,0,0,0,12.3582995280766,17.2252897793825,19.209219924276,20.9172917294272,2.63258386201207,6.10381942227069,0.436008138325381,0.579337824961577,0.631499372934187,0.691833041764457,79.241201184045,186.78936843365
"21","BadAibling","BadAibling",73,"RosenheimAibling",1.278,2.108,2.217,2.316,2.495,2.715,3.246,3.479,3858,"OB",12.01027,47.86305,"DEBKGGND00000X65","","E",14332.08,1,"Rm",449,10622.15,6253.87,499,0.0243698691926026,33668,12711,1397.35,30071.26,2029.1,2.8212,79,0,1,0,22,38,0,30,61,0,2,6,0,2,7,0,26,48,0,22,37,0,0.0666666666666667,0.0983606557377049,0,0.0666666666666667,0.114754098360656,0,0.00677757239679606,0.0109226789307272,0,3857,23970,0.127933305887196,0.163214132000973,0.185793129698354,0.234945878297186,0.194368221297366,0.202242171222569,0.0456360642239605,0.0508055914219952,0.0635038638364472,0.0551749294255717,0,1,1,4.45669086618268,3.17601647967041,0.604,0.982,0.509,0.711,0.096,0.193,0.271,6.46462787550744,0.630288678394226,9452.86423094271,1,850.514208389716,14.2927974423545,22.1575748847775,25.1857745440154,27.3220807603618,4.55650443180025,12.2884492949852,0.677070212644463,1.08624342279613,1.23896382750847,1.34168598191512,97.4154915982573,253.488199676192
"23","BadKissingen","BadKissingen",171,"Kissingen",1.608,3.471,3.873,4.024,4.245,4.306,4.757,5.199,5831,"UF",10.07888,50.19972,"DEBKGGND00000HRC","","Amt",78558.59,0,"Z",0,0,0,0,0,0,0,19370.7,138229.76,30539.55,4.3962,152,1,1,35,85,217,47,102,283,5,8,19,2,3,8,40,91,256,35,84,213,0.106382978723404,0.0784313725490196,0.0671378091872792,0.0425531914893617,0.0294117647058824,0.0282685512367491,0.00796142122742368,0.0178684044565903,0.0417387959222928,47203,122985,2527,0.0908149591911317,0.171636563004477,0.196097422019655,0.239986097539824,0.199660493580939,0.278949055767712,0.117949811182848,0.131156528890378,0.140594059405941,0.148098561458482,1,0,0,4.49368548876746,2.80212507589557,0.732,0.788,0.568,0.63,0.006,0.331,0.158,20.2836534985799,5.00147172734315,0,0,0,10.9607472555701,14.3126368185584,16.0364400596042,17.5736858410276,2.39364653187257,4.62815880387533,0.393608831564306,0.470802863710433,0.515292849780695,0.56505157939022,68.7138015977245,147.791463021966
"24","BadReichenhall","Berchtesgaden",58,"Berchtesgaden",3.154,3.312,3.302,3.271,3.436,3.791,4.193,4.927,6077,"OB",12.87722,47.72861,"DEBKGGND00000QFC","","V",44260.72,0,"Z",0,0,0,0,0,0,0,1447,111039.02,19673.42,3.8714,162,1,1,11,31,138,21,46,190,2,11,25,8,9,11,11,26,154,10,27,131,0.0952380952380952,0.239130434782609,0.131578947368421,0.380952380952381,0.195652173913043,0.0578947368421053,0.00284134938265227,0.00739327450512759,0.0280089303836006,817,3189,4455,0.1635995583364,0.27080221890335,0.300795827525741,0.289277104322973,0.30738539447147,0.328740650214237,0.202551834130782,0.202208235545125,0.201025985233484,0.221527809001394,0,0,1,5.29060642092747,4.76765755053508,0.644,0.992,0.526,0.89,0.013,0.097,0.102,13.4042156268928,0.438219261053907,0,0,0,8.79499599097823,12.6254585277081,14.2298817926881,15.4878047197695,1.4840262024195,3.77254203001624,0.223974385659507,0.3173123616228,0.357042115152885,0.391055195526468,56.787801930758,139.498198386334
"25","BadSteben","Naila",95,"Naila",0.844,0.796,0.827,0.788,0.874,0.86,0.935,1.014,1106,"OF",11.64222,50.36583,"DEBKGGND0000025P","","E",2216.22,0,"Z",0,0,0,0,0,0,0,238,7222.57,595.76,0.875,46,0,0,0,0,13,0,0,21,0,0,1,0,0,3,0,0,17,0,0,13,0,0,0.0476190476190476,0,0,0.142857142857143,0,0,0.0128205128205128,0,0,0,0.205099973575266,0.32098821810211,0.374956896551724,0.5318296260107,0.574574380762953,0.465825539675043,0.0364220910772483,0.0392729929673943,0.0411839844954411,0.0437068965517241,0,0,1,1.89867860748935,1.35401027261952,0.321,0.04,0.723,0.001,0.201,0.802,0.039,2.67983071342201,0.287787182587666,0,0,0,11.684286860438,15.4161858905288,17.3668367031476,19.0367750866431,2.42314051659413,5.28579567247083,0.512442465102924,0.641161143641002,0.71402421289662,0.782480462795536,66.5944658954212,147.53024132665
"26","BadToelz","BadToelz",76,"BadToelz",2.453,3.469,3.671,3.796,4.093,4.285,4.789,5.261,5496,"OB",11.555,47.76,"DEBKGGND0000089T","","E",20687.99,0,"M",536,31175.82,23583.91,547,0.0227237809861073,63873,12737,2467,49667.92,5387.41,4.3858,73,0,1,0,28,90,0,36,119,0,4,12,0,2,5,0,30,102,0,27,84,0,0.111111111111111,0.100840336134454,0,0.0555555555555556,0.0420168067226891,0,0.00584673209438296,0.017107013875689,0,4200,16574,0.133285612025769,0.164815430661789,0.215651272601635,0.256395105020223,0.218924494290514,0.263902893917036,0.262777380100215,0.285001662786831,0.293263931414574,0.302948289761603,0,1,1,6.76543296089385,2.65328212290503,0.604,0.982,0.509,0.711,0.096,0.193,0.271,5.63551893217107,0.672023971669845,13929.7194225007,1,4356.3061836012,13.9652185313067,21.8752450913945,24.9006252221852,27.0067686773063,3.91626439262622,10.8211650225221,0.574679581736572,0.941651161956501,1.07615222518237,1.16364526602069,96.133630910315,252.580219857054
"27","Bamberg","Bamberg",80,"Bamberg",20.863,26.951,29.587,31.521,35.815,38.94,41.823,45.483,48063,"OF",10.89694,49.8975,"DEBKGGND00000ETD","","HE",216822.16,0,"B",581,104011.94,28863.55,615,0.0496079697164295,192637,184072,26225.53,346382.78,31684.7,39.5166,218,1,1,217,338,585,352,552,926,41,63,100,3,10,22,308,479,804,195,304,558,0.116477272727273,0.114130434782609,0.107991360691145,0.00852272727272727,0.0181159420289855,0.0237580993520518,0.00549136312334563,0.00808167754584798,0.0128619484202889,368933,423883,8329,0.193632338527056,0.242604006163328,0.283138755139283,0.151093948625595,0.14750293235793,0.188640299508556,1,1,1,1,1,0,0,9.77081945369753,7.00098347133657,0.582,0.834,0.609,0.729,0.211,0.06,0.105,7.32829147936594,0.886386926690776,289.485246898976,1,-1564.3640788184,13.6042551977811,18.502016319825,21.2796651544926,23.3119344843172,2.98028848910326,6.68000484816914,0.48344230970159,0.645382541777899,0.746657942547347,0.81750868413165,85.5283870735114,195.255475932993
"28","Bayreuth","Bayreuth",81,"Bayreuth",16.66,19.18,22.072,23.559,24.556,27.693,29.387,31.903,34547,"OF",11.57805,49.94833,"DEBKGGND000006NW","","Amt",131378.92,1,"Wn",575,90309.62,24182.91,614,0.0464583635375136,149185,124799,19468.33,199344.35,15198.65,28.0318,174,1,1,118,156,299,186,273,472,32,61,108,4,5,8,150,207,356,109,148,284,0.172043010752688,0.223443223443223,0.228813559322034,0.021505376344086,0.0183150183150183,0.0169491525423729,0.00420950491941295,0.00530846973151394,0.0093721593580541,144691,161040,4882,0.23482239942008,0.285888544244241,0.337335046860797,0.18303577292204,0.175057643488077,0.215641575402658,1,0.965148294008992,1,1,1,0,0,6.69731312874061,4.6654357145889,0.452,0.122,0.693,0.004,0.078,0.918,0.118,5.95228887277999,0.88203742297934,1104.83870967742,1,-1900.31714389271,13.1541518661107,17.6758812272246,20.1763156502286,22.1457032450291,2.59920979279242,5.69046622914305,0.467869451743562,0.603539790881786,0.687933868486346,0.757870931243427,78.6660700648303,178.225028420169
"29","Behringersdorf","Lauf",17,"HersbruckLauf",0.253,0.346,0.352,0.372,0.346,0.405,0.57,0.759,1035,"MF",11.19944,49.48055,"DEBKGGND00000G3O","","N",665.22,0,"N",1,0,0,7,0.00598295454545455,0,0,0,1580.26,92.5,0.438,36,0,0,0,0,16,0,0,23,0,0,3,0,0,2,0,0,18,0,0,16,0,0,0.130434782608696,0,0,0.0869565217391304,0,0,0.0210803689064559,0,0,0,0.10467574873538,0.141651888870976,0.203050745299859,0.192860810360035,0.210459377745083,0.232333917220017,0.00942108503064529,0.0108818313719168,0.0140841590274518,0.0175951039710689,0,0,0,3.74693492612386,3.4954154877921,0.389,0.16,0.695,0.016,0.305,0.679,0.144,1.88982954545455,0,0,1,0,26.5193402761574,40.159425143704,50.2006238161767,55.7079828733202,21.390807945936,57.4079088444246,2.60087202105803,4.27569283010331,5.72380262680509,6.42003737988239,192.707020861029,484.990044413761
"30","Berchtesgaden","Berchtesgaden",58,"Berchtesgaden",1.646,1.816,1.78,1.888,2.179,2.349,2.634,2.83,2930,"OB",13.0025,47.63277,"DEBKGGND00000DNT","","E",19041.64,0,"Z",0,0,0,0,0,0,0,2330.85,69076,10831.41,2.406,162,1,1,13,54,135,21,66,163,2,6,16,6,9,11,13,51,136,13,53,132,0.0952380952380952,0.0909090909090909,0.098159509202454,0.285714285714286,0.136363636363636,0.0674846625766871,0.00540315876974231,0.020501138952164,0.0477031802120141,1496,48078,2593,0.1635995583364,0.27080221890335,0.300795827525741,0.289277104322973,0.30738539447147,0.328740650214237,0.109189056557478,0.12529336462556,0.126282481541854,0.127242480104312,0,0,1,5.29060642092747,4.76765755053508,0.644,0.992,0.526,0.89,0.013,0.097,0.102,10.6975505617978,1.30946629213483,0,0,0,7.99909865778374,11.4315894658684,12.8769445745785,14.037226065971,1.35564424505739,3.34660601990813,0.182129298346162,0.255313514603346,0.286284059280415,0.315501711284713,52.7615484181454,128.42377706113
